Date;perceptionLevel;sunshine;minTemp;maxTemp;eisbachTempYest;minWaterTemp;maxWaterTemp
22.04.2020;0.0;14.0;5.0;19.0;12.3;10.7;12.3
23.04.2020;0.0;14.0;5.0;19.0;12.3;11.3;13.1
24.04.2020;0.0;9.0;5.0;21.0;13.1;11.9;13.0
25.04.2020;0.0;12.0;10.0;18.0;13.0;12.3;13.5
26.04.2020;0.0;14.0;5.0;18.0;13.5;12.5;13.5
27.04.2020;0.0;5.0;10.0;21.0;13.5;13.1;13.8
28.04.2020;4.2;3.0;8.0;19.0;13.8;12.7;13.7
29.04.2020;10.1;1.0;9.0;13.0;13.7;11.7;13.4
30.04.2020;7.7;2.0;6.0;18.0;13.4;12.8;14.2
01.05.2020;3.8;4.0;8.0;15.0;14.2;10.6;12.1
02.05.2020;5.4;2.0;8.0;13.0;12.1;10.4;11.9
03.05.2020;0.0;5.0;6.0;15.0;11.9;9.8;11.5
04.05.2020;1.3;2.0;7.0;16.0;11.5;10.5;12.3
05.05.2020;0.0;0.0;7.0;11.0;12.3;10.7;12.3
06.05.2020;0.0;12.0;4.0;13.0;12.3;9.8;11.8
07.05.2020;0.0;14.0;3.0;18.0;11.8;10.3;13.5
08.05.2020;0.0;9.0;7.0;23.0;13.5;11.5;14.8
09.05.2020;0.2;5.0;13.0;24.0;14.8;13.2;15.6
10.05.2020;2.1;4.0;13.0;22.0;15.6;14.1;15.3
11.05.2020;6.0;1.0;6.0;21.0;15.3;13.7;15.2
12.05.2020;0.1;4.0;3.0;10.0;15.2;11.9;13.6
13.05.2020;5.0;1.0;5.0;12.0;13.6;11.1;12.6
14.05.2020;0.8;0.0;6.0;11.0;11.85;10.7;11.9
15.05.2020;1.8;0.0;8.0;10.0;11.3;10.4;11.2
16.05.2020;0.0;3.0;3.0;16.0;10.8;10.2;12.4
17.05.2020;0.0;12.0;7.0;19.0;12.4;11.0;13.8
18.05.2020;0.0;15.0;9.0;21.0;13.8;12.7;15.3
19.05.2020;0.0;11.0;11.0;23.0;15.3;13.8;15.7
20.05.2020;0.0;3.0;12.0;19.0;15.729645774438154;14.9;16.2
21.05.2020;0.0;8.0;12.0;22.0;16.2;13.9;15.8
22.05.2020;0.0;4.0;11.0;25.0;15.8;14.6;15.4
23.05.2020;11.4;1.0;9.0;21.0;15.4;13.5;15.5
24.05.2020;0.0;4.0;8.0;18.0;15.5;13.5;15.0
25.05.2020;0.5;4.0;9.0;17.0;15.0;13.0;15.0
30.05.2020;0.1;3.0;8.0;16.0;15.5;13.5;15.5
31.05.2020;0.0;3.0;7.0;18.0;15.5;13.2;15.5
01.06.2020;0.0;12.0;8.0;21.0;15.5;13.5;15.5
02.06.2020;0.0;15.0;10.0;21.0;15.5;14.0;16.0
03.06.2020;0.0;6.0;9.0;24.0;16.0;13.2;15.5
04.06.2020;8.8;0.0;13.0;20.0;15.5;14.0;15.5
05.06.2020;4.3;1.0;11.0;16.0;15.5;13.5;15.0
06.06.2020;7.2;0.0;11.0;17.0;15.0;13.5;15.0
11.06.2020;4.5;3.0;11.0;18.0;17.1;15.0;16.5
12.06.2020;0.0;13.0;9.0;24.0;16.5;14.5;17.0
13.06.2020;2.1;8.0;14.0;25.0;17.0;15.5;17.5
